"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Arcade","Minecraft","Mojang","￥900","￥99～￥5,935/アイテム","2020-07-16","246889","https://play.google.com/store/apps/details?id=com.mojang.minecraftpe"
"2","+2","Role Playing","ドラゴンクエストV 天空の花嫁","SQUARE ENIX Co.,Ltd.","￥1,800","","2020-02-07","218511","https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.dq5j"
"3","new","Puzzle","ヒューマン フォール フラット","DMMGAMES","￥600","","2020-05-13","90419","https://play.google.com/store/apps/details?id=com.dmm.games.humanff"
"4","-2","Role Playing","エバーテイル","ZigZaGame Inc.","￥99","￥120～￥10,000/アイテム","2020-07-02","70956","https://play.google.com/store/apps/details?id=com.zigzagame.evertale"
"5","+2","Casino","パチスロ モンスターハンター 月下雷鳴","CommSeed Corporation","￥120","￥360～￥600/アイテム","2019-03-27","48345","https://play.google.com/store/apps/details?id=net.commseed.psgek"
"6","+48","Adventure","60 Seconds! Atomic Adventure","Robot Gentleman","￥450","","2020-05-05","42381","https://play.google.com/store/apps/details?id=com.robotgentleman.game60seconds"
"7","+5","Role Playing","ドラゴンクエストVI 幻の大地","SQUARE ENIX Co.,Ltd.","￥1,800","","2019-12-20","39193","https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.dq6"
"8","-3","Strategy","ダンジョンメーカー","GameCoaster","￥130","￥310～￥4,760/アイテム","2020-06-11","33406","https://play.google.com/store/apps/details?id=com.GameCoaster.DungeonMaker"
"9","+112","Maps & Navigations","MarineTraffic ship positions","MarineTraffic","￥499","￥120～￥10,300/アイテム","2020-06-15","30336","https://play.google.com/store/apps/details?id=com.marinetraffic.android"
"10","+31","Casino","アナザーゴッドハーデス-奪われたZEUSver.-","株式会社ユニバーサルエンターテインメント","￥900","￥100～￥800/アイテム","2019-01-24","26623","https://play.google.com/store/apps/details?id=com.universal777.hades"
"11","-8","Sports","バスケクラブ物語","Kairosoft Co.,Ltd","￥600","","2020-07-10","26219","https://play.google.com/store/apps/details?id=net.kairosoft.android.basket"
"12","+231","Action","夜廻","株式会社日本一ソフトウェア","￥1,900","","2019-08-23","23934","https://play.google.com/store/apps/details?id=jp.co.nippon1.Yomawari"
"13","+13","Role Playing","ドラゴンクエストIV 導かれし者たち","SQUARE ENIX Co.,Ltd.","￥1,800","","2020-01-22","23278","https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.dq4j"
"14","-","Photography","カメラ無音化Pro：サイレントシャッター、カメラをミュート","HDM Dev Team","￥200","","2020-03-23","21847","https://play.google.com/store/apps/details?id=jp.snowlife01.android.mutecamera"
"15","+23","Role Playing","ドラゴンクエストVIII 空と海と大地と呪われし姫君","SQUARE ENIX Co.,Ltd.","￥1,800","","2020-04-01","20552","https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.dq8j"
"16","+7","Adventure","イースIクロニクルズ","Dotemu","￥560","","2018-05-28","19101","https://play.google.com/store/apps/details?id=com.dotemu.ys1x"
"17","new","Photography","VHS Camcorder (VHS Cam) - The Original VHS App","Rarevision","￥360","","2020-06-26","18752","https://play.google.com/store/apps/details?id=com.rarevision.vhscamcorder"
"18","+120","Simulation","This War of Mine","11 bit studios","￥1,600","￥310/アイテム","2020-06-05","18595","https://play.google.com/store/apps/details?id=com.elevenbitstudios.twommobile"
"19","+172","Casino","CR戦国乙女5～10th Anniversary～ 平和","CommSeed Corporation","￥360","￥240～￥1,200/アイテム","2019-06-05","17933","https://play.google.com/store/apps/details?id=net.commseed.cr_sengokuotome5"
"20","+9","Role Playing","ドラゴンクエストVII エデンの戦士たち","SQUARE ENIX Co.,Ltd.","￥1,800","","2020-07-15","17684","https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.dq7j"
"21","+301","Casino","パチスロ バイオハザード リベレーションズ","CommSeed Corporation","￥120","￥120～￥600/アイテム","2019-07-23","16102","https://play.google.com/store/apps/details?id=net.commseed.br"
