"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"152","-5","Casino","SLOTバジリスク～甲賀忍法帖～Ⅲ","Universal Entertainment Corporation","¥980","セーブ機能 : ¥120 / ウェイトカット : ¥120 / 設定変更 : ¥370","2016-12-21","2698","https://itunes.apple.com/JP/app/id1140367099"
"153","+14","Puzzle","Dark Echo","RAC7 Games","¥250","","2015-02-03","2670","https://itunes.apple.com/JP/app/id951177560"
"154","-25","Adventure","逆転裁判6","CAPCOM","¥120","シナリオセット : ¥2,440 / 第2話 逆転マジックショー : ¥730 / 第3話 逆転の儀式 : ¥730","2017-09-20","2655","https://itunes.apple.com/JP/app/id1248649955"
"155","+20","Music","LiveTunes - ライブコンサート・シミュレータ","Rockstar App Solutions, LLC","¥120","","2013-06-04","2632","https://itunes.apple.com/JP/app/id644106186"
"156","+14","Education","「宅建士」過去問題《受験用》","TK office","0","","2010-07-01","2576","https://itunes.apple.com/JP/app/id379256460"
"157","new","Games","三國志Ⅲ","KOEI TECMO GAMES CO., LTD.","¥1,960","","2019-07-25","2576","https://itunes.apple.com/JP/app/id1470015479"
"158","+132","Puzzle","ズーキーパー DX","KITERETSU INC.","¥120","","2011-06-09","2490","https://itunes.apple.com/JP/app/id433596395"
"159","-39","Reference","翻訳王Pro - タップde辞書！OCRスキャンアプリ","MONOPOLEAPPS K.K.","¥370","","2017-06-13","2483","https://itunes.apple.com/JP/app/id1244917087"
"160","-6","Photo & Video","8ミリカメラ","NEXVIO INC.","¥370","","2010-12-22","2477","https://itunes.apple.com/JP/app/id406541444"
"161","-10","Productivity","iThoughts (mindmap)","toketaWare","¥1,480","","2014-05-13","2468","https://itunes.apple.com/JP/app/id866786833"
"162","-62","Role Playing","ユグドラ・ユニオン YGGDRA UNION","sting co.,ltd","¥1,840","","2019-04-11","2447","https://itunes.apple.com/JP/app/id1450925098"
"163","+55","Utilities","AnyFont","Florian Schimanke","¥250","","2014-02-20","2408","https://itunes.apple.com/JP/app/id821560738"
"164","-3","Puzzle","Monument Valley","ustwo games","¥490","","2014-04-03","2387","https://itunes.apple.com/JP/app/id728293409"
"165","-17","Puzzle","Poly Bridge","Dry Cactus","¥610","","2017-06-13","2300","https://itunes.apple.com/JP/app/id1197552569"
"166","new","Puzzle","KIDS⁢","Playables","¥370","","2019-05-28","2297","https://itunes.apple.com/JP/app/id1251330372"
"167","new","Role Playing","ミステリーオブフォーチュン3","Dotomchi Games Inc.","¥610","","2019-07-20","2259","https://itunes.apple.com/JP/app/id1465860982"
"168","+61","Racing","Rush Rally 3","Brownmonster Limited","¥610","","2019-03-27","2223","https://itunes.apple.com/JP/app/id1437096541"
"169","+16","Family","Hidden Folks","Adriaan de Jongh","¥610","","2017-02-15","2185","https://itunes.apple.com/JP/app/id1133544923"
"170","+68","Photo & Video","NightCapカメラ","Realtime Dreams Limited","¥370","","2013-12-12","2175","https://itunes.apple.com/JP/app/id754105884"
"171","new","Education","究極の立体＜切断＞","WonderLab Inc.","¥4,900","","2019-07-23","2172","https://itunes.apple.com/JP/app/id1470369523"
"172","-114","Adventure","ナイト・アンド・ドラゴン２ - 狂乱の時代 -","Chiori Nakagawa","¥370","","2019-02-10","2167","https://itunes.apple.com/JP/app/id1450718618"
"173","+41","Productivity","FastEver 2","Rakko Inc.","$3.99","","2019-11-04","2159","https://itunes.apple.com/JP/app/id1039596715"
"174","new","Adventure","Minit","Devolver","$4.99","","2019-06-21","2144","https://itunes.apple.com/JP/app/id1403550875"
"175","new","Casino","パチスロ 逆転裁判","CommSeed Corporation","¥1,220","強制パック : ¥250 / 状態（モード）設定パック : ¥250 / 台設定パック : ¥120","2017-05-21","2128","https://itunes.apple.com/JP/app/id1231338535"
"176","-133","Casino","パチスロ モンスターハンター 狂竜戦線","CommSeed Corporation","¥120","強制パック : ¥250 / 状態（モード）設定パック : ¥250 / 台設定パック : ¥120","2017-01-26","2099","https://itunes.apple.com/JP/app/id1174294802"
"177","-35","Social Networking","feather for Twitter","covelline, LLC.","¥610","","2014-01-14","2078","https://itunes.apple.com/JP/app/id793157344"
"178","new","Arcade","スーパーブラックジャック2","NET CORPORATION","¥1,840","","2016-01-26","2067","https://itunes.apple.com/JP/app/id1074568873"
"179","-98","Casino","パチスロ デビル メイ クライ クロス","CommSeed Corporation","¥120","強制パック(ボーナス・小役強制) : ¥370","2016-09-06","2054","https://itunes.apple.com/JP/app/id1142443107"
"180","+9","Action","GTA III: 日本語字幕版","Rockstar Games","¥610","","2011-12-14","2036","https://itunes.apple.com/JP/app/id487342800"
"181","+178","Photo & Video","ProCamera.","Cocologics","¥1,100","","2013-09-18","2027","https://itunes.apple.com/JP/app/id694647259"
"182","new","Strategy","ネオモンスターズ","ZigZaGame Inc.","¥120","","2015-10-22","2020","https://itunes.apple.com/JP/app/id983143183"
"183","new","Puzzle","The Gardens Between","The Voxel Agents","¥610","","2019-05-16","2005","https://itunes.apple.com/JP/app/id1371965583"
"184","-21","Role Playing","FINAL FANTASY　IV","SQUARE ENIX","¥1,840","","2012-12-20","2000","https://itunes.apple.com/JP/app/id577363831"
"185","new","Adventure","This War of Mine","11 bit studios s.a.","¥1,840","","2015-07-14","1953","https://itunes.apple.com/JP/app/id982175678"
"186","+161","Casino","パチスロ スタードライバー","Ichikaku Co., Ltd.","¥1,600","","2013-11-18","1947","https://itunes.apple.com/JP/app/id693958702"
