"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Word","Wordscapes","PeopleFun, Inc.","0","240 Coins : $0.99 / Super Bundle : $5.99 / Piggy Bank : $2.99","2017-06-14","320000","https://itunes.apple.com/US/app/id1207472156"
"2","-","Education","Duolingo - Language Lessons","Duolingo","0","Duolingo Plus : $79.99","2012-11-13","134021","https://itunes.apple.com/US/app/id570060128"
"3","+1","Education","PictureThis - Plant Identifier","Glority Global Group Ltd.","0","PictureThis Premium : $29.99 / PictureThis Premium : $29.99 / PictureThis Gold : $1.99","2017-07-20","84284","https://itunes.apple.com/US/app/id1252497129"
"4","+3","Adventure","Idle World !","HOMA GAMES","0","Remove Interstitial  Ads : $2.99 / Idle Combo : $7.99 / Limited Offer : $2.99","2019-04-12","32221","https://itunes.apple.com/US/app/id1410042592"
"5","+3","Education","Remind: School Communication","remind101","0","","2012-05-02","8690","https://itunes.apple.com/US/app/id522826277"
"6","+24","Entertainment","YouTube Kids","Google LLC","0","","2015-02-23","5000","https://itunes.apple.com/US/app/id936971630"
"7","+18","Education","SkyView® Lite","Terminal Eleven LLC","0","Stargazing Music Pack : $0.99 / Brightest Satellites & Sightings : $0.99","2011-03-04","5000","https://itunes.apple.com/US/app/id413936865"
