"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","LiveATC for Android","LiveATC","$3.99","","2020-01-31","246889","https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app"
"2","-","Travel & Local","Road to Hana GyPSy Drive Tour","GyPSy Guide","$6.99","","2019-05-23","171155","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.rh"
"3","-","Travel & Local","PeakFinder","Fabio Soldati","$4.99","","2020-03-03","157823","https://play.google.com/store/apps/details?id=org.peakfinder.area.alps"
"4","-","Travel & Local","Maui - Full Island GyPSy Driving Tour","GyPSy Guide","$9.99","","2019-05-23","83352","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.fit"
"5","+1","Travel & Local","HappyCow - Find vegan restaurants worldwide","HappyCow","$3.99","","2020-07-14","63108","https://play.google.com/store/apps/details?id=com.sisow.hcvg.healthydiningguide"
"6","-1","Travel & Local","MBTA Rail","Starboard LLC","$1.99","","2020-06-25","46932","https://play.google.com/store/apps/details?id=com.ech.mbtarail"
"7","+2","Travel & Local","Hawaii Big Island Full Island Tour GyPSy","GyPSy Guide","$9.99","","2019-04-10","35067","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.hbi.fit"
"8","+2","Travel & Local","Kauai GyPSy Guide Driving Tour","GyPSy Guide","$8.99","","2020-02-20","33335","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.hi.k"
"9","-2","Maps & Navigations","Villages GPS","BK Partnerships, LLC.","$6.99","","2019-06-05","31313","https://play.google.com/store/apps/details?id=com.golfcart"
"10","+4","Travel & Local","MilSpaceA","Take-a-Hop","$6.99","","2020-01-29","27676","https://play.google.com/store/apps/details?id=com.takeahop.milspacea"
"11","+2","Travel & Local","Plane Finder - Flight Tracker","pinkfroot limited","$6.49","$1.99 per item","2020-05-20","27208","https://play.google.com/store/apps/details?id=com.pinkfroot.planefinder"
"12","-","Travel & Local","US Public Lands","Two Steps Beyond LLC","$2.99","","2019-07-08","26448","https://play.google.com/store/apps/details?id=com.twostepsbeyond.uspubliclands"
"13","-2","Travel & Local","Ultimate PUBLIC Campgrounds (Over 43,300 in US&CA)","Toad Hall Enterprises","$2.99","","2020-07-02","25000","https://play.google.com/store/apps/details?id=com.ultimatecampgrounds.ultimatecampgrounds"
"14","+2","Travel & Local","Oahu Full Island GyPSy Tour","GyPSy Guide","$8.99","","2019-05-23","22466","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.oahu.fit"
"15","+4","Travel & Local","OsmAnd+ — Offline Maps, Travel & Navigation","OsmAnd","$5.99","$0.99 - $5.99 per item","2020-06-09","22236","https://play.google.com/store/apps/details?id=net.osmand.plus"
"16","+9","Travel & Local","Moon Calendar Watch","AppMosaic","$1.99","","2020-04-21","21379","https://play.google.com/store/apps/details?id=com.appmosaic.moonwatch"
"17","+10","Travel & Local","Contour lines plugin — OsmAnd","OsmAnd","$2.49","","2016-12-27","20331","https://play.google.com/store/apps/details?id=net.osmand.srtmPlugin.paid"
"18","+6","Travel & Local","Tide Table Chart","AppMosaic","$3.99","","2020-06-04","19543","https://play.google.com/store/apps/details?id=com.appmosaic.tidechart"
"19","-4","Travel & Local","FlightView Elite FlightTracker","OAG Aviation Worldwide Limited","$3.99","","2020-04-28","17759","https://play.google.com/store/apps/details?id=com.flightview.flightview_elite"
"20","+22","Travel & Local","World Clock Pro - Timezones and City Infos","Alessandro Sperotti","$1.99","","2020-06-25","16295","https://play.google.com/store/apps/details?id=com.alesp.orologiomondiale.pro"
"21","-3","Travel & Local","OruxMaps GP","jose vazquez","$3.49","$0.99 - $8.99 per item","2020-07-10","16185","https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate"
"22","-2","Travel & Local","AlpineQuest Off-Road Explorer","Psyberia","$9.99","","2020-05-26","15990","https://play.google.com/store/apps/details?id=psyberia.alpinequest.full"
