"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"41","new","Travel & Local","Phrasebook Spanish","Planetinpocket","₩2,300","","2018-11-02","4966","https://play.google.com/store/apps/details?id=com.planetinpocket.phraseboxmini.es"
"42","new","Travel & Local","Learn Arabic Pro","Codegent","₩4,700","","2019-09-22","4846","https://play.google.com/store/apps/details?id=com.codegent.apps.learn.arabicpro"
"43","new","Travel & Local","Basic GPS","Clever Applications LLC","₩1,087","","2013-12-27","4834","https://play.google.com/store/apps/details?id=com.cleverapplications.android.basicgps2"
"44","new","Travel & Local","Phrasebook French","Planetinpocket","₩2,300","","2018-11-02","4744","https://play.google.com/store/apps/details?id=com.planetinpocket.phraseboxmini.fr"
"45","new","Travel & Local","French Way PREMIUM","Peregrino Online","₩3,900","","2019-06-11","4654","https://play.google.com/store/apps/details?id=com.independentrip.caminofrances"
"46","new","Travel & Local","uTalk Papiamento","EuroTalk Ltd","₩9,900","","2014-01-29","4637","https://play.google.com/store/apps/details?id=com.eurotalk.utalk.papiamento"
"47","new","Travel & Local","TS Translator [SEA]","TIME SPACE SYSTEM Co., Ltd.","₩9,990","","2020-02-06","4516","https://play.google.com/store/apps/details?id=com.tss21.translator.l10.sea.main"
"48","new","Travel & Local","3D maps (지형)","seungho.woo","₩4,900","","2019-06-25","4445","https://play.google.com/store/apps/details?id=com.maps3d"
"49","new","Travel & Local","Learn Korean Pro - Phrasebook","Codegent","₩4,900","","2019-09-22","4444","https://play.google.com/store/apps/details?id=com.codegent.apps.learn.koreanpro"
"50","new","Travel & Local","point it","Graf Editions","₩3,586","","2017-10-08","4399","https://play.google.com/store/apps/details?id=com.socialbit.pointit"
"51","+11","Travel & Local","Phrasebook Turkish","Planetinpocket","₩2,300","","2018-11-02","4252","https://play.google.com/store/apps/details?id=com.planetinpocket.phraseboxmini.tr"
"52","new","Travel & Local","TrekRight: Camino de Santiago (Francés)","The Trekopedia Team","₩9,500","","2019-05-10","4213","https://play.google.com/store/apps/details?id=com.TrekRightInc.TrekRight"
"53","new","Travel & Local","제주도 100배 즐기기","Gajisoft7","₩1,300","","2014-08-26","4188","https://play.google.com/store/apps/details?id=com.gajisoft7.jeju100"
"54","new","Travel & Local","Offline Map Cambodia","Applantation","₩3,431","","2019-07-27","4157","https://play.google.com/store/apps/details?id=com.applantation.android.maps.cambodia"
